ENTITY	CUI
mogamulizumab	C2987603
solanezumab	C2935150
LY2062430	C2935151
SAR153191	C4519528
REGN88	C4519527
tremelimumab	C2351038
brodalumab	C3491331
sirukumab	C3254570
lampalizumab	C4054668
guselkumab	C3852217
dalotuzumab	C2987605
MK-0646	C1831888
emibetuzumab	C4519736
ublituximab	C4083151
ligelizumab	C4041919
seribantumab	C4042753
landogrozumab	C4519737
romosozumab	C3661283
romosozumab-aqqg	C4765888
vadastuximab talirine	C4086942
lebrikizumab	C2981360
varlilumab	C3896974
avelumab	C4055417
crenezumab	C3493199
rilotumumab	C2743963
AMG 102	C1879711
anifrolumab-fnia	C5550556
anifrolumab	C4519739
ocrelizumab	C1882138
gantenerumab	C2982066
lorvotuzumab mertansine	C2987530
fulranumab	C2981231
Sotatercept	C2699571
Duligotuzumab	C4055111
tralokinumab	C3658667
etrolizumab	C3177463
zalutumumab	C1831978
polatuzumab vedotin-piiq	C5140554
inclacumab	C4078374
cixutumumab	C2699335
ascrinvacumab	C4519598
GS-5745	C3827124
labetuzumab govitecan	C4519108
ensituximab	C2983727
dusigitumab	C4519591
GC1008	C1832030
bococizumab	C4043705
mirvetuximab soravtansine	C4288736
mirvetuximab soravtansine-gynx	C5710447
mavrilimumab	C2987425
blosozumab	C3885232
dacetuzumab	C2742509
lumretuzumab	C4310393
ibalizumab-uiyk	C4689607
intetumumab	C1881068
sifalimumab	C2986882
ecromeximab	C1831744
concizumab	C3494079
rontalizumab	C2987428
mogamulizumab-kpkc	C4719632
plozalizumab	C4287798
inebilizumab	C4519594
inebilizumab-cdon	C5384327
CAM-3001	C3468001
bimagrumab	C3899948
Tovetumab	C4519596
ibalizumab	C1434792
carlumab	C2346793
demcizumab	C2698134
Abituzumab	C4519733
KW2871	C4551947
crotedumab	C4519735
depatuxizumab	C1872017
amatuximab	C2987611
BMS-945429	C4760811
sacituzumab govitecan-hziy	C5244401
bimekizumab	C4519734
robatumumab	C4721939
namilumab	C3273714
clazakizumab	C4077748
ozanezumab	C3885499
sacituzumab govitecan	C4086837
milatuzumab	C2716103
rovalpituzumab tesirine	C4507507
MT203	C5201207
racotumomab	C2986854
tregalizumab	C4519743
olokizumab	C3885146
bezlotoxumab	C4291320
edrecolomab	C0279218
cytomegalovirus immune globulin, human	C4281720
IMMU-MN3	C5200977
tildrakizumab-asmn	C4691413
tildrakizumab	C4043954
burosumab-twza	C4691480
burosumab	C4301607
erenumab-aooe	C4692289
erenumab	C4542165
eptinezumab	C4694272
Sulesomab	C0529257
besilesomab	C3660637
galcanezumab-gnlm	C4731561
fanolesomab	C1572727
lecanemab	C5242453
Immunoglobulin G1, anti-(human beta-amyloid protofibril) (human-mus musculus monoclonal BAN2401 heavy chain), disulfide with human-mus musculus monoclonal BAN2401 light chain, dimer	C4718967
lanadelumab	C4505508
lanadelumab-flyo	C4723206
parsatuzumab	C4054246
emactuzumab	C4078926
89Zr-bevacizumab	C2826356
refanezumab	C4726669
UCB7665	C5226617
RA-18C3	C5139938
pamrevlumab	C5139936
margetuximab	C4053695
MLTA3698A	C4760786
gremubamab	C5139896
tafasitamab	C5139916
Ipafricept	C3640817
fremanezumab	C4549503
galcanezumab	C4694273
cemiplimab-rwlc	C4731528
cemiplimab	C4724806
emapalumab-lzsg	C4740903
emapalumab	C4740904
risankizumab	C4505511
risankizumab-rzaa	C4766117
camrelizumab	C4682408
setrusumab	C4726749
gancotamab	C5139892
Anti-mesothelin antibody-drug conjugate BAY 94-9343	C3273944
anetumab ravtansine	C4045305
isatuximab-irfc	C5241853
isatuximab	C4330502
Icrucumab	C2698155
codrituzumab	C4507381
brolucizumab-dbll	C5209992
brolucizumab	C4550124
xentuzumab	C4508939
lintuzumab	C1311738
Vobarilizumab	C4727769
MEGF0444A	C2983767
rozanolixizumab	C4726717
bermekimab	C4542166
opicinumab	C4550038
fam-trastuzumab deruxtecan-nxki	C5222084
margetuximab-cmkb	C5432368
Dalantercept	C2981815
pateclizumab	C3529178
tafasitamab-cxix	C5399324
OMP-54F28	C4049114
frovocimab	C5139891
MEDI9929	C5226649
tigatuzumab	C2973415
telisotuzumab vedotin	C4743550
PF-05082566	C3529795
ponezumab	C3273712
abrilumab	C4528222
AMG-157	C5227766
tezepelumab	C4550163
utomilumab	C4331488
zolbetuximab	C2827697
PF-04360365	C3492697
suvratoxumab	C4726796
nemolizumab	C4505530
gedivumab	C5139893
DMUC5754A	C3827130
pidilizumab	C2346821
Ladiratuzumab vedotin	C5139903
anti-Tlr2 monoclonal antibody OPN-305	C3712029
MNRP1685A	C2984519
DCDT2980S	C3641731
lulizumab pegol	C4078434
EMD 273063	C1529682
HU14.18-IL2	C4759782
zenocutuzumab	C4726984
Asunercept	C5139847
mitazalimab	C5139905
bleselumab	C5139884
MHAA4549A	C5139963
Sofituzumab vedotin	C4688397
Istiratumab	C5139900
GMA-161	C5139701
SGN-LIV1A	C3827076
tomaralimab	C4743551
vesencumab	C5139919
pinatuzumab vedotin	C4078700
BMS-931699	C4079852
lorukafusp alfa	C5139716
naratuximab emtansine	C5139906
Immunoglobulin g1, bispecific, anti-(human epidermal growth factor receptors, her2 and her3) (humanized clone mcla-128 .gamma.1-chain), disulfide with humanized clone mcla-128 light chain, dimer	C4549048
maftivimab	C5417453
odesivimab	C5417454
belantamab mafodotin-blmf	C5399365
ansuvimab	C5432324
hepatitis B immune globulin	C0062525
atoltivimab	C5417452
odesivimab-ebgn	C5417490
belantamab mafodotin	C5227411
ansuvimab-zykl	C5432354
bamlanivimab	C5421805
Rho(D) immune globulin	C0073188
dostarlimab	C5242455
IVIgGM	C4744620
Hsp-90mab	C5226417
Mycograb	C1739735
indatuximab ravtansine	C4547156
magrolimab	C5227415
olinvacimab	C5227445
actoxumab	C4308583
amivantamab	C5446297
amivantamab-vmjw	C5450104
Zaire ebolavirus (strain Kikwit-95) envelope glycoprotein	C5227851
Imlifidase	C5139878
darbepoetin alfa	C0937950
epoetin zeta	C1997870
Rho(D) immune globulin, human	C4082558
dostarlimab-gxly	C5450069
inolimomab	C0905677
pentaglobulin	C0070286
abagovomab	C1832044
efungumab	C2605768
foralumab	C2987422
Anti-cd47 monoclonal antibody hu5f9-g4	C3896840
5F9	C5770276
volagidemab	C5227441
Bentracimab	C5421136
EBOLA ZAIRE VACCINE LIVE	C5227848
Ebola Zaire Vaccine (rVSVG-ZEBOV-GP, live)	C5383288
epoetin alfa-epbx	C4694938
epoetin alfa	C0357126
Recombinant Erythropoietin	C0376541
epoetin theta	C2746991
Epoetin gamma rDNA	C4256162
peginesatide	C3179929
epoetin beta	C0357131
epoetin omega	C1872824
Epoetin kappa	C4256161
Epoetin epsilon	C4256163
hematide	C1710272
imdevimab	C5422689
cilgavimab	C5432263
sotrovimab	C5433947
loncastuximab tesirine-lpyl	C5450070
tisotumab vedotin-tftv	C5557442
sutimlimab	C4727016
spesolimab	C5238146
dyclonine	C0058831
proparacaine	C0072510
levobupivacaine	C0873118
benzocaine	C0005059
etidocaine	C0015120
Medihaler-Tetracaine	C4292391
tetracaine hydrochloride	C0304456
denileukin diftitox	C0717670
methoxy polyethylene glycol-epoetin beta	C1328071
casirivimab	C5422688
tixagevimab	C5432264
loncastuximab tesirine	C5203804
HuMax-TF-ADC	C3827178
tisotumab vedotin	C4724800
bebtelovimab	C5565647
eflapegrastim	C3641654
dibucaine	C0012050
articaine	C1608295
Metraspray	C4292382
Propoxycaine	C0033492
pramoxine	C0071810
butamben	C0054235
butacaine	C0006466
oxethazaine	C0069758
ethyl chloride	C0015058
DENILEUKIN	C1383469
Gallium nitrate injection	C5782106
gallium nitrate	C0061008
etanercept-szzs	C4291381
etanercept-ykro	C5135562
rhu TNFR:Fc	C4542001
pegaspargase	C0071568
alefacept	C0962603
Bleomycine	C1589326
trifluridine	C0040987
glatiramer	C0717787
GALLIUM NITRATE ANHYDROUS	C2700233
BREDININ	C0054034
doxifluridine	C0048808
cortivazol	C0056396
Begelomab	C4059170
fluocinolone acetonide	C0016298
estramustine	C0014921
H.P. acthar gel	C5201181
Cortigel	C4255705
cortisone acetate	C0056391
Cortone acetate	C1135150
abetimus	C1172637
pralatrexate	C1721300
teriflunomide	C1718383
tixocortol	C0146010
pirarubicin	C0071126
Theprubicin	C0950476
voclosporin	C2607219
peficitinib	C4505522
ozanimod	C4278675
mizoribine	C0128608
trofosfamide	C0077375
(melle-4)cyclosporin	C0290852
monomethyl fumarate	C3848524
flunisolide anhydrous	C1646276
Beclomethasone dipropionate anhydrous	C5443072
fluprednisolone	C0016369
meprednisone	C0065967
Mometasone furoate anhydrous	C4718959
cortisol succinate	C0056387
Hydrocortisone hemisuccinate anhydrous	C4718958
clobetasol propionate	C0055895
fluocinonide	C0016299
desoximetasone	C0011707
fluocortolone	C0016301
fluorometholone	C0016351
diflucortolone	C0012227
upadacitinib	C4726929
Fasitibant	C3529340
rilonacept	C2343589
pimecrolimus	C1099414
sipuleucel-T	C1706668
GASTRIMMUNE	C1619625
Gastrin 17C Diphtheria Toxoid Immunogen	C5834083
PEV3A	C4305746
SRP 299	C1450367
Vitespen	C0393074
TG4010	C0879624
rabies virus vaccine wistar strain PM-1503-3M (human), inactivated	C2586803
ROTAVIRUS VACCINE, LIVE	C0795661
fingolimod	C1699926
G17DT Immunogen	C5779657
gastrin 17 vaccine	C0935889
rindopepimut	C3181262
vitespin	C1451037
MVA-Muc1-IL2	C1527217
Rotavirus Vaccines	C0597418
rabies virus vaccine flury-lep strain	C2586798
diphtheria toxoid vaccine, inactivated	C0012551
influenza A virus A/California/7/2009 (H1N1) antigen	C3888362
Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated	C3474322
typhoid Vi polysaccharide vaccine, S typhi Ty2 strain	C0078221
Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine	C2719943
Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated)	C4762282
rabies immune globulin, human	C0301503
Hepatitis B Antigen Vaccine	C0796320
Vaccines, Typhoid	C0041469
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) hemagglutinin antigen (formaldehyde inactivated)	C4718989
tetanus toxoid vaccine, inactivated	C0305062
diphtheria toxoid adsorbed	C0770720
Japanese Encephalitis Vaccines	C0771080
influenza B virus B/Brisbane/60/2008 antigen	C4033637
hepatitis A vaccine, inactivated	C0795623
hepatitis B surface antigen vaccine	C0062527
Hepatitis B virus recombinant vaccine	C1445761
Hepatitis B Antigens	C0019165
Influenza A virus A/California/7/2009 (H1N1) live (attenuated) antigen	C4718926
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated)	C4718920
influenza virus vaccine, live attenuated, A-Perth-16-2009 (H3N2) strain	C2927368
Influenza A virus A/Uruguay/716/2007(H3N2) antigen (formaldehyde inactivated)	C4731005
INFLUENZA A VIRUS A/BRISBANE/59/2007 (H1N1) HEMAGGLUTININ ANTIGEN (FORMALDEHYDE INACTIVATED)	C2364549
vaccinia virus strain New York City Board of Health live antigen	C2700141
pertussis vaccine	C0031237
Yersinia pestis 195/P Antigen (Formaldehyde Inactivated)	C2700293
Acetaminophene brand of acetaminophen	C1950939
chlorzoxazone	C0008296
Plague Vaccine	C0032066
varicella zoster virus glycoprotein E, recombinant	C4530095
measles virus vaccine live, Enders' attenuated Edmonston strain	C2356367
rubella virus vaccine live (Wistar RA 27-3 strain)	C2242042
Chickenpox Vaccine	C0078048
varicella-zoster virus vaccine live (Oka-Merck) strain	C3464497
yellow fever vaccine	C0301508
yellow fever virus strain 17D-204 live antigen	C2356374
Anthrax Vaccine Adsorbed	C1329979
Anthrax Vaccines	C0358297
Bacillus anthracis strain V770-NP1-R antigens	C3535682
Salmonella typhi Ty21a live antigen	C2241979
Bacillus calmette-guerin substrain danish 1331 live antigen	C4519113
BCG Vaccine	C0004886
Vaccine product containing only live attenuated Mycobacterium bovis antigen (medicinal product)	C5240291
adenovirus type 4 vaccine live	C0770963
human adenovirus E serotype 4 strain CL-68578	C3159361
Vibrio cholerae CVD 103-HGR strain live antigen	C4291328
cholera vaccine	C0008359
Cholera Vaccine Live Oral	C4553341
adenovirus type 7 vaccine live	C0770964
human adenovirus B serotype 7 strain 55142	C4083103
Caffeine anhydrous	C1170114
p-hydroxyphenolacetamide	C1258986
grepafloxacin	C0287721
triamterene	C0040869
entecavir	C0971023
Proftril	C4082528
dehydrated alcohol	C2825044
lomefloxacin	C0065162
cinacalcet	C1337242
primaquine	C0033126
dexfenfluramine	C0011786
temafloxacin	C0076075
pirfenidone	C0298067
vadimezan	C2930490
stiripentol	C0075262
Teridin	C4256092
entecavir anhydrous	C2699999
denatured ethanol	C0719741
oxtriphylline	C0055578
thiothixene	C0039955
peldesine	C0338278
Lorqess	C4255624
lofexidine	C0065152
propentofylline	C0072171
tasimelteon	C1313052
O(6)-benzylguanine	C0083812
voxilaprevir	C4507236
rucaparib	C3661315
lobucavir	C0286536
theodrenaline	C0068955
bromotheophylline	C3848545
bicifadine	C0053551
mephenytoin	C0025381
selumetinib	C2980074
penciclovir	C0164815
binimetinib	C3899947
triclabendazole	C0077071
cafedrine	C0068978
dihydralazine	C0012271
theophylline anhydrous	C0304441
Nevirapine anhydrous	C4703837
Bromochlorotrifluoroethane	C0443369
chlormethiazole	C0008221
tegafur-uracil	C1446539
plitidepsin	C0388638
brompheniramine	C0006246
mephobarbital	C0025382
benzylamphetamine	C0053302
ethylmorphine	C0015109
17-alpha-Methyltestosterone	C1449554
ketobemidone	C0064311
hydrocodone	C0020264
osilodrostat	C4330903
5-ethyl-5-(1-methylbutyl)barbituric acid	C4256112
trimethadione	C0041038
Chlofazoline	C4256018
methoxyflurane	C0025688
asunaprevir	C3491974
cenobamate	C4550368
Nicotine betadex	C4490579
Enphenemal	C4255891
benzphetamine	C0005096
perhexiline	C0031013
Special K drug	C0701928
Dionine	C0012495
clotiazepam	C0009073
AQ4N	C0299316
artemether	C0052429
methyltestosterone	C0025826
velpatasvir	C4079582
voxelotor	C4723629
dothiepin	C0013065
carisoprodol	C0007248
voriconazole	C0393080
clofezone	C0650237
proguanil	C0008241
Common st johnswort flowering top	C4306004
methsuximide	C0109002
Harkoseride	C1311233
etravirine	C1456409
rilpivirine	C1566826
PR-122 (redox-phenytoin)	C5834501
tazarotene	C0288792
ombitasvir	C3852670
paregoric	C0070108
sulfadiazine	C0038675
capravirine	C0971818
rivoglitazone	C1958863
apalutamide	C4329353
balaglitazone	C1566435
tucatinib	C4519167
hydromorphone	C0012306
acetohexamide	C0000992
zafirlukast	C0378466
bosentan	C0252643
Hypoxis hemerocallidea root extract	C3475323
barbital	C0004743
dexlansoprazole	C2348248
lacosamide	C0893761
fedratinib	C3886623
nilutamide	C0068771
fosphenytoin	C0244656
muraglitazar	C1568490
repaglinide	C0246689
odanacatib	C2351970
selexipag	C2000145
glasdegib	C4519273
finerenone	C4045511
troglitazone	C0245514
Dimorphone	C1512536
bosentan anhydrous	C2825457
nateglinide	C0903898
Leutrol	C4255945
irbesartan	C0288171
gliquidone	C0061328
paramethadione	C0070072
chlorpropamide	C0008287
zileuton	C0081408
tolazamide	C0040372
glipizide	C0017642
fluvastatin	C0082608
gliclazide	C0017631
glisoxepide	C0061330
phenacetin	C0031364
1-bis((4-fluorophenyl)methyl)-4-((2E)-3-phenylprop-2-en-1-yl)piperazine	C3885487
N-(3-chloro-7-indolyl)-1,4-benzenedisulphonamide	C1099211
glibornuride	C0350998
lesinurad	C3886073
piperaquine	C0071105
Cannabis indica	C4554148
avapritinib	C4743552
avanafil	C2698280
siponimod	C3657824
Beta-phenylisopropylamine	C0301063
mesoridazine	C0025497
quazepam	C0072828
sitaxsentan	C1704271
vicriviroc	C1452204
vismodegib	C2987716
enzalutamide	C3496793
estradiol dienanthate	C0626260
Hashish top	C4694850
Cannabis substance	C0678449
Cannabis sativa susp. indica top extract	C3695948
NRL-1	C5709333
dexibuprofen	C2714681
lonafarnib	C1257385
cabozantinib	C3181682
timolol anhydrous	C2983887
Alpheprol	C0002027
phenformin	C0031404
thioridazine-2-sulfoxide	C2354526
debrisoquin	C0011082
Repinotan	C2699033
Enclomiphene	C0086213
encainide	C0085251
lisdexamfetamine	C1873633
penbutolol	C0030812
Dextro-methamphetamine	C1268848
tafenoquine	C0903411
Sparteine	C0037760
indenolol	C0063460
letermovir	C3852938
codeine anhydrous	C3848586
oxymorphone	C0030073
Bepadin	C0206026
Piportil	C4255641
fusidate	C0369246
ipecac	C0022046
eliglustat	C3272698
encorafenib	C4079208
Capazine	C4256066
Alyrane	C0594647
Efrane	C4256131
dihydroergocornine	C0012288
levobetaxolol	C1171274
elagolix	C2714632
butyrfentanyl	C4305826
dasabuvir	C3852512
codeine polistirex	C0770426
propoxyphene	C0033493
delavirdine	C0288165
bepridil	C0005116
dihydrocodeine	C0058056
pipothiazine	C0031968
fusidic acid	C0016875
Ramycin	C4255637
clevidipine	C0766108
clevidipine butyrate	C2347779
sertindole	C0084528
Lu-AF41156	C5815599
Lorpiprazole	C2825691
Ipsatol	C4694620
oliceridine	C4508938
Beta-Cardone	C0591170
amoxapine	C0002644
nilvadipine	C0132512
Thilopemal	C4255998
Atysmal	C4255999
linagliptin	C2746078
tenofovir alafenamide	C3713958
duvelisib	C4079854
dihydroergocristine	C0012289
infigratinib	C3254591
dofetilide	C0114771
digitoxin	C0012258
dronedarone	C0766326
sunitinib	C1176020
axitinib	C1700874
crizotinib	C2974289
copanlisib	C4049141
erdafitinib	C4519323
enasidenib	C4519428
pazopanib	C1831796
cobimetinib	C4049146
gilteritinib	C3896940
Methylprednisone	C4519262
lefamulin	C4482908
tazemetostat	C4086895
1-methyl-d-lysergic acid butanolamide	C0616472
1-methyllysergic acid butanolamide	C0616474
isavuconazole	C1832021
pretomanid	C4310440
alectinib	C3853921
venetoclax	C4079830
vinflunine	C0672663
zanubrutinib	C4683810
midostaurin	C0526371
neratinib	C2713008
idelalisib	C2698692
tolvaptan	C1176308
abemaciclib	C3852841
levomethadyl	C0772342
cerivastatin	C0528023
Reichstein's substance M	C4255947
ceritinib	C3818721
ribociclib	C4045494
dacomitinib	C2987430
dacomitinib anhydrous	C4518884
alpelisib	C4055478
baricitinib	C4044947
dabrafenib	C3467876
brigatinib	C4287815
lomitapide	C2827241
vandetanib	C1121849
vemurafenib	C3192263
acalabrutinib	C4078312
sonidegib	C3886731
entrectinib	C4086264
ivosidenib	C4682397
ixazomib	C3273711
regorafenib	C2980094
conivaptan	C0966107
Levomethadyl Acetate	C3536876
flutamide	C0016384
Kendall's compound F	C4255948
telithromycin	C0907410
6-O-methylerythromycin A	C0620902
halofantrine	C0120726
udenafil	C1742789
saxagliptin anhydrous	C2699273
cethromycin	C1317928
boceprevir	C1738934
BMS-790052	C2933824
paritaprevir	C3864824
BPI-2009	C4306021
hydrocortisone cypionate	C0612688
azimilide	C0252416
chlorpheniramine polistirex	C0724551
valbenazine	C4078701
aripiprazole lauroxil	C4056439
levamlodipine	C2717539
indinavir anhydrous	C2697674
saquinavir	C0286738
hydrocortisone butyrate	C0352536
nitrendipine	C0028127
telaprevir	C1876229
ambrisentan	C1176329
daclatasvir	C3252090
elbasvir	C4080052
icotinib	C2604307
doravirine	C4045491
hydrocortisone acetate	C0063077
dexloxiglumide	C0533979
dapsone	C0010980
iloperidone	C0247194
indinavir	C0376637
nisoldipine	C0028116
epoxymexrenone	C0636067
alfentanil	C0002026
felodipine	C0015772
Hydrocortisone phosphate	C0056383
lorlatinib	C4080091
dexamethasone acetate anhydrous	C1658209
apremilast	C1678805
relugolix	C3896936
dexamethasone acetate	C0057598
ponesimod	C2934701
Bacillus calmette-guerin substrain russian BCG-I live antigen	C5448255
fexinidazole	C0060304
mobocertinib	C5418176
mumps virus vaccine live, Jeryl Lynn strain	C2344347
Bordetella pertussis toxoid vaccine, inactivated	C2725005
abrocitinib	C5139788
Meningococcal (groups A, C, Y and W-135) oligosaccharide diphtheria CRM197 conjugate vaccine	C4731460
vonoprazan	C4080009
Corifollitropin alfa	C2713522
Recombinant human regular insulin	C1446598
insulin, neutral	C0063657
insulin human, rDNA origin	C1695970
insulin lispro protamine, human	C0982221
insulin lispro	C0293359
Magnesium powder	C4718956
belzutifan	C5418188
Tick-borne encephalitis vaccine	C0593408
Tick-borne encephalitis vaccine (whole virus, inactivated)	C5553201
tick-borne encephalitis purified antigen	C5558542
NVX-CoV2373 adjuvated lipid nanoparticle	C5416844
SARS-CoV-2 rS Nanoparticle Vaccine	C5416856
Nuvaxovid	C5563867
pertussis toxoid	C0070476
PF-04965842	C5139949
SARS-COV-2 (COVID-19) vaccine, vector - Ad26	C5416833
Janssen COVID-19 Vaccine	C5575181
deucravacitinib	C5420928
teprotumumab-trbw	C5234029
teprotumumab	C2987429
Immunoglobulin G1, anti-(human insulin-like growth factor I receptor) (human monoclonal heavy chain), disulfide with human monoclonal light chain, dimer	C5201196
diroximel fumarate	C5139729
Filgotinib	C4310256
satralizumab	C4726732
satralizumab-mwge	C5399366
Humanised anti-IL-6 receptor monoclonal antibody	C5401502
pegcetacoplan	C5418501
belumosudil	C5418179
SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 OMICRON (BA.4/BA.5)	C5699493
follicle stimulating hormone, human, with HCG C-terminal peptide	C1098055
mitiglinide	C0906166
AMG-222	C3490010
Bisegliptin	C4734120
gosogliptin	C2983801
canagliflozin anhydrous	C2983989
Tofogliflozin	C3501434
ertugliflozin	C4079805
Teneligliptin	C2981308
Omarigliptin	C4279587
carmegliptin	C2825730
Gemigliptin	C3501981
anagliptin	C3272640
Evogliptin	C4279601
sotagliflozin	C3502471
remogliflozin etabonate	C2605528
insulin lispro-aabc	C5389884
insulin glargine	C0907402
insulin glargine-yfgn	C5550555
insulin, pork	C0770206
insulin, regular, pork	C0724601
miglitol	C0066535
pramlintide	C0537551
insulin aspart protamine, human	C1170011
insulin aspart, human	C0123677
insulin detemir	C0537270
INSULIN,DETEMIR,HUMAN	C1815806
insulin glulisine, human	C1313386
glymidine	C0351000
Buformin	C0006359
voglibose	C0532578
NN344	C1957876
canagliflozin	C2974540
benfluorex	C0053105
albiglutide	C2607479
lixisenatide	C2973895
insulin degludec	C3491971
Insulin peglispro	C4550895
Insulin tregopil	C4550894
ipragliflozin	C3492889
dutogliptin	C2828326
Tofogliflozin anhydrous	C4519754
gadobenate	C1875994
roxithromycin	C0035891
levofloxacin anhydrous	C3661457
gemifloxacin	C0533545
Bisphenabid	C4255649
Biphenabid	C0700784
terlipressin	C0145185
fluspirilene	C0016383
Technetium Tc 99m ciprofloxacin	C0968226
garenoxacin	C1507354
N-(2-amino-5-fluorobenzyl)-4-(N-(pyridine-3-acrylyl)aminomethyl)benzamide	C2932486
nemonoxacin	C2742587
bedaquiline	C1664205
eperisone	C0043606
semaglutide	C3885068
tirzepatide	C5139934
ibutilide	C0082966
trovafloxacin	C0379881
goserelin	C0120107
gadobenic acid	C0246154
nalidixic acid	C0027353
levofloxacin	C0282386
ofloxacin	C0028902
probucol	C0033215
Bisbid	C4255650
prenylamine	C0033059
Pracinostat	C3467801
Infecton	C4317347
tedisamil	C0076034
fendiline	C0015824
butriptyline	C0054270
lenvatinib	C2986924
N-(2-aminophenyl)-4-(N-(pyridin-3-ylmethoxycarbonyl)aminomethyl)benzamide	C0907722
CUDC-101	C2703140
ricolinostat	C3492270
abexinostat	C3537177
sitafloxacin	C0171447
BCX7353	C5391658
isradipine	C0071304
Amimetilina	C4256106
mefloquine	C0025153
dexbrompheniramine	C0057605
foscarnet	C0070895
Phosphonoformate	C0376236
Ethmozine	C0591466
moricizine	C0079856
moexipril	C0066685
ibandronic acid	C0379200
azatadine	C0052759
rosoxacin	C0073591
gatifloxacin anhydrous	C3848583
metylperon	C0066477
mocetinostat	C2002471
entinostat	C2743752
mizolastine	C0171302
mibefradil	C0286185
(+)-1-(3-(aminomethyl) phenyl)-N-(5-((3-cyanophenyl)(cyclopropylmethylamino)methyl)-2-fluorophenyl)-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide dihydrochloride	C5789832
berotralstat	C5392453
buclizine	C0164386
ibandronate	C0379199
indapamide	C0021186
levomenthol	C0771655
gatifloxacin	C0753645
bretylium	C0054040
cyclizine	C0010547
chlorprothixene	C0008290
tandutinib	C1143028
cariporide	C0663099
Receptal	C0600174
Etilamide	C1707062
triptorelin	C0077275
pheniramine	C0031408
degarelix	C1455035
buserelin	C0006456
histrelin	C0121902
chlorcyclizine	C0008183
lacidipine	C0064568
sarafloxacin	C0050308
pazufloxacin	C0175022
5-pyrimidinecarboxamide, N-hydroxy-2-[[[2-(6-methoxy-3-pyridinyl)-4-(4-morpholinyl)thieno[3,2-d]pyrimidin-6-yl]methyl]methylamino]-	C5761829
CUDC-907	C3530053
delafloxacin	C2828290
Diphos	C0641983
pilsicainide	C0164155
gallopamil	C0016986
inotersen	C4731850
fostemsavir	C4519220
tenofovir disoproxil	C0963398
cidofovir	C0286079
valacyclovir	C0249458
flumequine	C0060493
pinaverium	C0071081
acrivastine	C0054340
fimepinostat	C4682390
prulifloxacin	C0527129
givinostat	C2987670
cicletanine	C0056686
lidoflazine	C0023665
nelfinavir	C0525005
Ketozole	C4255812
posaconazole	C0936148
clofazimine	C0008996
Delamanid	C3489682
bis(isopropyloxymethylcarbonyl) 9-(2-phosphonomethoxypropyl)adenine	C0673857
cidofovir anhydrous	C2699210
carbidopa anhydrous	C1881339
oseltamivir	C0874161
Hydroxocobalamin anhydrous	C4256142
Gadodiamide anhydrous	C4256133
butabarbital	C0006464
adefovir dipivoxil	C0540694
bis(pivaloyloxymethyl)-9-(2-phosphonylmethoxyethyl)adenine	C0289521
adefovir	C0050175
tenofovir	C0384228
tenofovir anhydrous	C3848584
phenazopyridine	C0031379
givosiran	C4688584
lithium citrate	C0125997
Anhydrous lithium citrate	C4718953
dihydrostreptomycin	C0262967
salmon calcitonin	C0073994
ethambutol	C0014964
pyrazinamide	C0034239
Aldinamide	C4256107
aztreonam	C0004521
Norzine	C2350040
thiethylperazine	C0039865
ampicillin (anhydrous)	C0724526
nitrofurantoin	C0028156
5-ethyl-5-(1-methylpropyl)barbituric acid	C4082289
Amidotrizoic Acid	C0002496
diatrizoate	C0012004
iothalamic acid	C0022034
2,4,6-Triiodo-3,5-diacetamidobenzoic acid	C4082381
diatrizoic acid	C0147942
Triombrin	C0733899
ertapenem	C1120106
piperacillin	C0031955
piperacillin anhydrous	C1882383
secobarbital	C0036516
zanamivir	C0216660
gadoteridol	C0060930
clorazepate	C0008174
clorazepic acid	C0770393
metaxalone	C0163055
Deschlorobiomycin	C4255917
Abramycin	C4255918
Gadolinium diethylenetriamine pentaacetic acid	C4718969
testolactone	C0039600
nitrofurantoin, macrocrystals	C0770666
Nitrofurantoin anhydrous	C1654703
oxacillin	C0029983
nedocromil	C0068483
lisinopril anhydrous	C2827257
Anhydrotetracycline	C3710841
meropenem anhydrous	C1881787
Sylvite	C4255914
gadopentetate	C2700227
fosfomycin	C0016610
edrophonium cation	C3848530
tiludronate	C0145942
doxacurium	C0058716
inamrinone	C0002697
fenproporex	C0060194
ketazolam	C0064304
pegaptanib	C1531015
1-Deoxygalactonojirimycin	C0754022
icatibant	C0246269
nalmefene	C0068377
tinidazole	C0040263
metyrapone	C0025876
isosorbide mononitrate	C0064079
abacavir	C0663655
tiludronic acid	C0043611
fomepizole	C0048504
oxybenzone	C0069803
valganciclovir	C0909381
pegaptanib sodium	C1576729
migalastat	C2698220
pentaerythritol tetranitrate	C0030858
doripenem	C0389169
gadofosveset trisodium	C1433439
mangafodipir	C0772321
plerixafor	C1955474
trientine	C0040976
teduglutide	C1530889
glycerol phenylbutyrate	C3490329
macitentan	C2606556
